crime,year,rate
robbery,2019,83.86299133
robbery,2020,52.70323563
robbery,2021,127.4277191
robbery,2022,30.50640678
robbery,2023,60.25651932
theftfrommv,2014,64.9651947
theftfrommv,2015,50.90000534
theftfrommv,2016,78.2760849
theftfrommv,2017,99.80492401
theftfrommv,2018,107.190712
theftfrommv,2019,331.038147
theftfrommv,2020,386.4904175
theftfrommv,2021,355.9187927
theftfrommv,2022,314.1947146
theftfrommv,2023,615.4772949
theftover,2014,18.56148529
theftover,2015,23.13636589
theftover,2016,23.02237701
theftover,2017,31.75611305
theftover,2018,26.79767799
theftover,2019,66.20762634
theftover,2020,43.91936493
theftover,2021,39.54653168
theftover,2022,61.01281357
theftover,2023,77.47267151
assault,2014,494.264679
assault,2015,472.8907166
assault,2016,562.9309692
assault,2017,444.0127563
assault,2018,409.9107361
assault,2019,467.7310486
assault,2020,501.0961609
assault,2021,375.956665
assault,2022,457.4524841
assault,2023,567.4625854
autotheft,2014,88.59461212
